Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11,10.290238,10.325038,9.420738,10.041456,10.041456,1242418592
2020-08-12,10.035163,12.838196,9.734777,12.740679,12.740679,2037011732
2020-08-13,12.757080,14.102946,12.410146,13.257181,13.257181,2824765459
2020-08-14,13.274544,13.613990,12.578509,12.934266,12.934266,1373860205
2020-08-15,12.926044,14.960601,12.697248,14.594234,14.594234,2004811095
2020-08-16,14.604549,15.169690,14.258305,14.347782,14.347782,1275995660
2020-08-17,14.347782,14.975620,12.530182,12.746414,12.746414,1412414153
2020-08-18,12.806041,13.448586,11.474789,12.253695,12.253695,2344464089
2020-08-19,12.232408,13.017579,11.400992,12.387600,12.387600,1731504879
2020-08-20,12.368952,12.757791,11.994163,12.171699,12.171699,1090650765
2020-08-21,12.171019,12.180639,10.060821,10.544668,10.544668,1944532117
2020-08-22,10.570456,12.406361,10.566755,12.193124,12.193124,1502397207
2020-08-23,12.154954,12.196779,11.305189,11.589507,11.589507,982402029
2020-08-24,11.576246,12.039753,11.297804,11.616318,11.616318,878759924
2020-08-25,11.579106,11.789960,10.483574,10.809667,10.809667,1061698488
2020-08-26,10.823129,11.802583,10.740036,11.538578,11.538578,1001613036
2020-08-27,11.521505,11.720790,10.714692,10.983567,10.983567,973739729
2020-08-28,10.986258,11.566865,10.845262,11.351965,11.351965,730680983
2020-08-29,11.360703,12.662581,11.251271,12.408824,12.408824,1485142669
2020-08-30,12.377394,13.225059,12.313180,12.332567,12.332567,1372989893
2020-08-31,12.355838,12.674077,11.754834,11.754834,11.754834,1070836305
2020-09-01,11.729631,12.264508,11.471059,12.031937,12.031937,1195951901
2020-09-02,12.029798,12.237987,10.710279,11.160728,11.160728,1078964745
2020-09-03,11.206369,11.239306,8.804259,9.060623,9.060623,1283465502
2020-09-04,9.056695,9.723930,8.480851,9.407990,9.407990,1353005564
2020-09-05,9.419318,9.614503,7.171090,7.991171,7.991171,1435727299
2020-09-06,7.991171,9.920865,7.488001,9.750034,9.750034,1475293803
2020-09-07,9.728843,9.952828,8.677312,9.442148,9.442148,1436887581
2020-09-08,9.455877,9.661195,8.690347,9.088829,9.088829,1074733044
2020-09-09,9.089575,9.716200,8.876917,9.521728,9.521728,933120572
2020-09-10,9.522565,10.201858,9.623203,9.799689,9.799689,3138498840
2020-09-11,9.799689,9.937048,9.403395,9.770607,9.770607,2655394104
