Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,7360.225586,7396.334961,7321.709473,7354.686035,7354.686035,14389993749
2020-07-15,7353.638672,7376.851563,7288.568848,7301.696289,7301.696289,12585169240
2020-07-16,7301.015137,7324.392578,7254.006836,7271.536621,7271.536621,12512246640
2020-07-17,7271.205566,7319.799316,7234.895996,7280.920898,7280.920898,11094412045
2020-07-18,7280.755371,7345.887207,7242.308594,7288.635742,7288.635742,9750448717
2020-07-19,7287.812988,7319.611328,7239.769043,7306.563965,7306.563965,10291915716
2020-07-20,7307.680664,7356.572266,7234.750977,7237.524902,7237.524902,10863598419
2020-07-21,7236.168945,7419.809570,7219.463379,7363.364746,7363.364746,14192482103
2020-07-22,7363.516113,7486.680176,7353.411621,7482.839844,7482.839844,12987243470
2020-07-23,7484.236816,7538.624023,7463.152832,7526.966797,7526.966797,14255956227
2020-07-24,7530.457031,7523.226563,7440.722656,7455.646973,7455.646973,12940441140
2020-07-25,7457.673828,7586.721680,7450.424316,7565.267578,7565.267578,12985238543
2020-07-26,7567.707520,7836.302246,7546.296875,7739.798828,7739.798828,16024745336
2020-07-27,7739.838379,8813.810547,7727.424316,8528.466797,8528.466797,27437715932
2020-07-28,8549.100586,8696.989258,8262.692383,8443.938477,8443.938477,22258492911
2020-07-29,8444.039063,8695.331055,8402.685547,8550.224609,8550.224609,18961633531
2020-07-30,8549.735352,8528.306641,8359.647461,8468.823242,8468.823242,17421497206
2020-07-31,8468.058594,8707.039063,8369.849609,8653.608398,8653.608398,17699671044
2020-08-01,8652.923828,9013.720703,8589.511719,8986.833984,8986.833984,19927366229
2020-08-02,8986.201172,9196.649414,8420.198242,8439.323242,8439.323242,20927312310
2020-08-03,8431.806641,8768.935547,8406.954102,8598.778320,8598.778320,15499427751
2020-08-04,8598.666992,8711.490234,8539.208008,8563.139648,8563.139648,16238635573
2020-08-05,8561.558594,8984.725586,8531.345703,8948.752930,8948.752930,18596225132
2020-08-06,8950.922852,9050.297852,8833.082031,8966.680664,8966.680664,17812479742
2020-08-07,8966.011719,9068.553711,8740.340820,8890.011719,8890.011719,17725898101
2020-08-08,8892.372070,9042.189453,8857.029297,9006.937500,9006.937500,13465186768
2020-08-09,8994.125000,9046.791992,8854.048828,8945.706055,8945.706055,13400171006
2020-08-10,8935.375977,9212.339844,8935.375977,9083.869141,9083.869141,19970950386
2020-08-11,9086.573242,9119.550781,8576.461914,8742.436523,8742.436523,20717151385
2020-08-12,8737.894531,8998.649414,8625.061523,8880.038086,8880.038086,19212377448
2020-08-13,8882.698242,9026.142578,8573.526367,9016.762695,9016.762695,21058913690
2020-08-14,9007.979492,9281.949219,8923.119141,8993.135742,8993.135742,18521339104
2020-08-15,8993.002930,9141.633789,8993.002930,9067.125977,9067.125977,17846572061
2020-08-16,9067.879883,9120.006836,8968.925781,9074.328125,9074.328125,15705321333
2020-08-17,9076.505859,9431.505859,9012.723633,9350.169922,9350.169922,21537866340
2020-08-18,9348.257813,9396.564453,9032.242188,9047.073242,9047.073242,19648938155
2020-08-19,9046.810547,9074.078125,8921.560547,8969.030273,8969.030273,18690382787
2020-08-20,8971.483398,9003.184570,8946.593750,8984.978516,8984.978516,15260856392
2020-08-21,8984.717773,8996.185547,8835.308594,8857.345703,8857.345703,18155895446
2020-08-22,8851.988281,8930.368164,8746.555664,8924.576172,8924.576172,15450695656
2020-08-23,8922.949219,8954.624023,8831.444336,8908.911133,8908.911133,14115490534
2020-08-24,8908.026367,8992.385742,8876.862305,9008.377930,9008.377930,15822783517
2020-08-25,9007.608398,8993.368164,8515.868164,8642.172852,8642.172852,19998195268
2020-08-26,8642.750000,8724.226563,8595.487305,8691.417969,8691.417969,16996950148
2020-08-27,8689.333984,8736.938477,8473.104492,8578.684570,8578.684570,17607101144
2020-08-28,8580.123047,8647.434570,8576.332031,8645.389648,8645.389648,14835637599
2020-08-29,8644.307617,8677.703125,8588.311523,8618.699219,8618.699219,13096800150
2020-08-30,8620.083984,8776.525391,8607.851563,8767.877930,8767.877930,14793518586
2020-08-31,8769.225586,8826.092773,8713.050781,8740.886719,8740.886719,16676805255
2020-09-01,8739.760742,9013.506836,8679.872070,8933.915039,8933.915039,20383405788
2020-09-02,8929.694336,8929.694336,8489.141602,8551.085938,8551.085938,21004867040
2020-09-03,8545.959961,8579.200195,7675.399414,7724.994629,7724.994629,24073282921
2020-09-04,7713.736328,8032.661621,7738.425293,7916.121094,7916.121094,22565810765
2020-09-05,7916.660645,7968.653320,7490.532715,7658.385742,7658.385742,33825272908
2020-09-06,7656.615723,7807.855957,7573.528809,7761.799316,7761.799316,27989434361
2020-09-07,7762.286621,7909.076172,7531.863770,7879.157227,7879.157227,25608793780
2020-09-08,7878.962402,8041.373047,7629.968262,7813.607910,7813.607910,25782533016
2020-09-09,7815.640137,7966.554199,7726.536133,7879.335938,7879.335938,18561654333
2020-09-10,7879.322266,8123.936035,7876.095703,8091.228027,8091.228027,42478918665
2020-09-11,8095.826172,8150.457031,7907.368164,8128.886719,8128.886719,35327162729
2020-09-12,8135.879395,8267.944336,8044.065918,8161.130859,8161.130859,28722206683
2020-09-13,8169.124512,8266.675781,7990.477539,8062.915039,8062.915039,28512071070
2020-09-14,8066.803223,8379.955078,8021.294434,8312.585938,8312.585938,27592494670
2020-09-15,8310.186523,8481.203125,8267.122070,8382.482422,8382.482422,25239525738
2020-09-16,8383.112305,8548.882813,8307.814453,8468.533203,8468.533203,23742952338
2020-09-17,8467.257813,8532.334961,8365.711914,8437.904297,8437.904297,29401921690
2020-09-18,8440.085938,8494.429688,8372.883789,8473.341797,8473.341797,20394007377
2020-09-19,8464.955078,8620.059570,8446.270508,8589.287109,8589.287109,17624137799
2020-09-20,8590.466797,8590.466797,8372.611328,8457.646484,8457.646484,19098066985
2020-09-21,8455.059570,8478.839844,8118.028320,8161.378418,8161.378418,22532552440
2020-09-22,8159.322754,8298.529297,8134.803711,8270.214844,8270.214844,18537552306
2020-09-23,8270.997070,8359.135742,8004.327637,8043.050781,8043.050781,18079985758
2020-09-24,8044.321777,8444.625000,8028.854980,8424.327148,8424.327148,18045357507
2020-09-25,8425.835938,8443.126953,8339.401367,8397.252930,8397.252930,16659525706
2020-09-26,8397.210938,8457.047852,8381.396484,8438.167969,8438.167969,14205590826
2020-09-27,8436.993164,8477.630859,8351.091797,8441.149414,8441.149414,14115198686
